NÚMERO;NOME;TIPO;MUSTg;TUSTg;MUSTc-P;TUSTcP;MUSTc-FP;TUSTc-FP;EUSTg;EUSTc-P;EUSTc-FP;SM
;;; (MW); (R$/kW.mês); (MW); (R$/kW.mês); (MW); (R$/kW.mês); (1000R$/ano); (1000R$/ano); (1000R$/ano)
30251;#1ABL--SP138; ;;6,976;;16,991;;;;;;2
30256;#1AIRL-SP138; ;;6,419;;17,548;;;;;;2
30222;#1ASCH-SP138; ;;6,914;;17,053;;;;;;2
30244;#1ASCP-SP138; ;;6,418;;17,548;;;;;;2
30219;#1ASCS-SP138; ;;6,952;;17,015;;;;;;2
30143;#1BRAS-SP138; ;;6,419;;17,548;;;;;;2
2530;#1COSM-SP138; ;;6,976;;16,991;;;;;;2
30208;#1CRIS-SP138; ;;6,745;;17,222;;;;;;2
30214;#1ITAP-SP138; ;;6,745;;17,222;;;;;;2
30278;#1LIND-SP138; ;;6,745;;17,222;;;;;;2
30260;#1ORIO-SP138; ;;6,419;;17,548;;;;;;2
30265;#1PAU3-SP138; ;;6,418;;17,548;;;;;;2
30286;#1PIR2-SP138; ;;7,054;;16,913;;;;;;2
30269;#1PLAS-SP138; ;;6,419;;17,548;;;;;;2
30276;#1POLY-SP138; ;;6,976;;16,991;;;;;;2
30216;#1PRAD-SP138; ;;6,745;;17,222;;;;;;2
2391;#1REPL-SP138; ;;6,419;;17,548;;;;;;2
30254;#1RHOD-SP138; ;;6,419;;17,548;;;;;;2
30274;#1SANT-SP138; ;;6,976;;16,991;;;;;;2
30247;#1SYNG-SP138; ;;6,419;;17,548;;;;;;2
29983;#1USES-SP138; ;;6,976;;16,991;;;;;;2
30262;#1WMPA-SP138; ;;6,419;;17,548;;;;;;2
30252;#2ABL--SP138; ;;6,976;;16,991;;;;;;2
30257;#2AIRL-SP138; ;;6,419;;17,548;;;;;;2
30223;#2ASCH-SP138; ;;7,088;;16,879;;;;;;2
30245;#2ASCP-SP138; ;;6,419;;17,548;;;;;;2
30220;#2ASCS-SP138; ;;6,952;;17,015;;;;;;2
30142;#2BRAS-SP138; ;;6,419;;17,548;;;;;;2
30273;#2COSM-SP138; ;;6,976;;16,991;;;;;;2
30209;#2CRIS-SP138; ;;6,745;;17,222;;;;;;2
