NÚMERO;NOME;TIPO;MUSTg;TUSTg;MUSTc-P;TUSTcP;MUSTc-FP;TUSTc-FP;EUSTg;EUSTc-P;EUSTc-FP;SM
;;; (MW); (R$/kW.mês); (MW); (R$/kW.mês); (MW); (R$/kW.mês); (1000R$/ano); (1000R$/ano); (1000R$/ano)
30251;#1ABL--SP138; ;;5,370;;17,384;;;;;;2
30256;#1AIRL-SP138; ;;5,370;;17,891;;;;;;2
30222;#1ASCH-SP138; ;;5,370;;17,459;;;;;;2
30244;#1ASCP-SP138; ;;5,370;;17,891;;;;;;2
30219;#1ASCS-SP138; ;;5,370;;17,412;;;;;;2
30143;#1BRAS-SP138; ;;5,370;;17,891;;;;;;2
2530;#1COSM-SP138; ;;5,370;;17,384;;;;;;2
30208;#1CRIS-SP138; ;;5,370;;17,585;;;;;;2
30214;#1ITAP-SP138; ;;5,370;;17,585;;;;;;2
30278;#1LIND-SP138; ;;5,370;;17,585;;;;;;2
30260;#1ORIO-SP138; ;;5,370;;17,891;;;;;;2
30265;#1PAU3-SP138; ;;5,370;;17,891;;;;;;2
30286;#1PIR2-SP138; ;;5,370;;17,321;;;;;;2
30269;#1PLAS-SP138; ;;5,370;;17,891;;;;;;2
30276;#1POLY-SP138; ;;5,370;;17,384;;;;;;2
30216;#1PRAD-SP138; ;;5,370;;17,585;;;;;;2
2391;#1REPL-SP138; ;;5,370;;17,891;;;;;;2
30254;#1RHOD-SP138; ;;5,370;;17,891;;;;;;2
30274;#1SANT-SP138; ;;5,370;;17,384;;;;;;2
30247;#1SYNG-SP138; ;;5,370;;17,891;;;;;;2
29983;#1USES-SP138; ;;5,370;;17,384;;;;;;2
30262;#1WMPA-SP138; ;;5,370;;17,891;;;;;;2
30252;#2ABL--SP138; ;;5,370;;17,384;;;;;;2
30257;#2AIRL-SP138; ;;5,370;;17,891;;;;;;2
30223;#2ASCH-SP138; ;;5,370;;17,336;;;;;;2
30245;#2ASCP-SP138; ;;5,370;;17,891;;;;;;2
30220;#2ASCS-SP138; ;;5,370;;17,412;;;;;;2
30142;#2BRAS-SP138; ;;5,370;;17,891;;;;;;2
30273;#2COSM-SP138; ;;5,370;;17,384;;;;;;2
30209;#2CRIS-SP138; ;;5,370;;17,585;;;;;;2
30271;#2INTP-SP138; ;;5,370;;17,384;;;;;;2
30215;#2ITAP-SP138; ;;5,370;;17,585;;;;;;2
30279;#2LIND-SP138; ;;5,370;;17,585;;;;;;2
30261;#2ORIO-SP138; ;;5,370;;17,891;;;;;;2
30266;#2PAU3-SP138; ;;5,370;;17,891;;;;;;2
30287;#2PIR2-SP138; ;;5,370;;17,326;;;;;;2
30270;#2PLAS-SP138; ;;5,370;;17,384;;;;;;2
30277;#2POLY-SP138; ;;5,370;;17,384;;;;;;2
30217;#2PRAD-SP138; ;;5,370;;17,585;;;;;;2
30255;#2RHOD-SP138; ;;5,370;;17,891;;;;;;2
30275;#2SABT-SP138; ;;5,370;;17,384;;;;;;2
30248;#2SYNG-SP138; ;;5,370;;17,384;;;;;;2
30272;#2USES-SP138; ;;5,370;;17,384;;;;;;2
30263;#2WMPA-SP138; ;;5,370;;17,891;;;;;;2
28516;#GALVA-RJ138; ;;7,485;;14,894;;;;;;2
28428;#ROSTR-RJ069; ;;7,703;;14,676;;;;;;2
7312;14JULH-RS230; ;;5,370;;19,477;;;;;;1
7313;14JULHUHE013;B;98,0;5,370;;19,477;;;6314,57;;;1
35025;2.VEND-ES069; ;;8,300;;14,079;;;;;;2
2084;2MARIA-SP034; ;;5,370;,8;17,589;;;;163,41;;2
6931;2VIZIN-PR138; ;;5,370;56,0;17,802;;;;11963,27;;1
33130;3LAG2--SP138; ;;6,638;16,0;15,741;;;;3024,13;;2
1412;3MAIO--MT138; ;;7,845;;14,534;;;;;;2
19582;3MAIO-PCH013;U;;;;14,534;;;;;;2
2294;3PONTE-SP138; ;;5,370;19,0;17,585;;;;4013,58;;2
7152;4BARRA-PR069; ;;5,370;55,2;19,632;;;;13004,29;;1
30068;79_331-SP138; ;;5,370;;17,336;;;;;;2
30069;79_332-SP138; ;;5,370;;17,336;;;;;;2
25808;7QUEDA-MT138; ;;5,370;;17,121;;;;;;2
25809;7QUEDAPCH013;U;;;;17,121;;;;;;2
1334;A-BOA1-MT138; ;;5,757;34,8;16,622;;;;6941,23;;2
22051;A.AZUL-SP088; ;;5,370;166,3;17,817;;;;35555,04;;2
2840;A.AZUL-SP138; ;;5,370;;18,124;;;;;;2
30951;A.AZUL-SP440; ;;5,370;;17,817;;;;;;2
56772;A.BEZ1EOL034;B;28,8;16,419;;7,998;;;5680,23;;;3
56773;A.BEZ2EOL034;B;28,8;16,419;;7,998;;;5680,23;;;3
56774;A.BEZ3EOL034;B;28,8;16,419;;7,998;;;5680,23;;;3
56775;A.BEZ4EOL034;B;16,5;16,419;;7,998;;;3246,97;;;3
56258;A.BRAN-RN230; ;;15,781;;7,998;;;;;;3
56255;A.BRANEOL034;B;27,3;15,781;;7,998;;;5164,02;;;3
59514;A.CAE1EOL034;B;27,0;11,205;;11,174;;;3628,98;;;3
59515;A.CAE2EOL034;B;36,0;11,205;;11,174;;;4839,08;;;3
59516;A.CAE3EOL034;B;36,0;11,205;;11,174;;;4839,08;;;3
59517;A.CAE4EOL034;B;22,5;11,205;;11,174;;;3025,27;;;3
35134;A.CLAU-ES069; ;;8,219;13,6;14,160;;;;2304,19;;2
26207;A.GU2-PCH006;D;;;;17,524;;;;;;2
1242;A.LIND-GO069; ;;8,630;60,0;13,749;;;;9892,48;;2
1206;A.LIND-GO230; ;;8,630;;13,749;;;;;;2
2522;A.MOG--SP138;U;;;;15,321;;;;;;2
29900;A.MOG-UTE013;U;;;5,3;15,321;;;;974,44;;2
1943;A.REIS-RJ138; ;;7,447;41,3;14,932;;;;7391,47;;2
59518;A.TAN1EOL034;B;27,0;11,205;;11,174;;;3628,98;;;3
59519;A.TAN2EOL034;B;18,0;11,205;;11,174;;;2420,21;;;3
59520;A.TAN3EOL034;B;13,5;11,205;;11,174;;;1815,16;;;3
60037;A.VERMUFV034; ;;7,074;;15,305;;;;;;2
151;A?U2---RN138; ;;16,265;14,5;7,998;;;;1391,62;;3
251;A?U2---RN230; ;;16,265;;7,998;;;;;;3
11265;A?U3---RN230;B;1095,6;15,838;;7,998;;;208224,10;;;3
11565;A?U3---RN500;B;576,5;15,456;;7,998;;;106919,80;;;3
6783;AALEG2-PR138; ;;5,370;;18,599;;;;;;1
6791;AALEG2UTE006;U;;;1,0;18,599;;;;223,19;;1
6811;AALEGR-PR138;U;;;2,5;18,599;;;;557,98;;1
43864;AALEGR-SC138; ;;5,370;;18,481;;;;;;1
50333;AALEGRPCH013;U;;;;18,481;;;;;;1
45065;AALEGRUTE013;U;;;4,5;18,599;;;;1004,36;;1
7243;AALFLO-PR138; ;;5,370;;18,672;;;;;;1
7244;AALFLOUTE013;U;;;1,5;18,672;;;;336,10;;1
1994;ABADIA-RJ069; ;;8,090;,0;14,289;;;;5,14;;2
58845;ABAIAR-CE230; ;;14,817;;7,998;;;;;;3
600;ABAIXA-BA069; ;;14,444;7,9;7,998;;;;760,98;;3
590;ABAIXB-SE069; ;;14,444;;7,998;;;;;;3
30152;ABBRAS-SP138; ;;5,370;7,4;17,736;;;;1564,78;;2
50244;ABDON2-RS525; ;;5,370;;18,680;;;;;;1
7747;ABDONB-SC230; ;;5,370;;18,436;;;;;;1
7744;ABDONB-SC525; ;;5,370;;18,698;;;;;;1
59359;ABIL I-BA230; ;;11,194;;11,185;;;;;;3
59354;ABIL--EOL034;B;23,1;11,194;;11,185;;;3104,44;;;3
59501;ABILII-BA230; ;;11,086;;11,293;;;;;;3
30253;ABL----SP138; ;;5,370;4,4;17,384;;;;928,32;;2
6445;ABLLUZ-SC138; ;;5,370;10,5;18,320;;;;2306,17;;1
4009;ABONIT-SP088; ;;5,370;;17,493;;;;;;2
37730;ABONITUTE013;U;;;4,5;17,493;;;;944,64;;2
4131;ABRAN1-RJ138; ;;7,288;64,5;15,091;;;;11680,42;;2
25740;ABRANCPCH034;D;;;;17,113;;;;;;2
25815;ABRAV-PCH034;U;;;;17,113;;;;;;2
38055;ABRTAP-RJ138; ;;7,286;;15,092;;;;;;2
9590;ABUNA--RO013; ;;5,370;;23,167;;;;;;2
9636;ABUNA--RO138; ;;5,370;19,5;23,167;;;;5429,43;;2
9537;ABUNA--RO230; ;;5,370;;23,167;;;;;;2
60140;AC-10-UFV034;B;38,9;12,905;;9,474;;;6018,03;;;2
60145;AC-15-UFV034;B;48,6;12,905;;9,474;;;7523,31;;;2
60146;AC-16-UFV034;B;38,9;12,905;;9,474;;;6018,03;;;2
60147;AC-17-UFV034;B;48,6;12,905;;9,474;;;7523,31;;;2
60148;AC-18-UFV034;B;38,9;12,905;;9,474;;;6018,03;;;2
60149;AC-19-UFV034;B;38,9;12,905;;9,474;;;6018,03;;;2
60150;AC-20-UFV034;B;38,9;12,905;;9,474;;;6018,03;;;2
60151;AC-21-UFV034;B;38,9;12,905;;9,474;;;6018,03;;;2
60152;AC-22-UFV034;B;38,9;12,905;;9,474;;;6018,03;;;2
60153;AC-23-UFV034;B;38,9;12,905;;9,474;;;6018,03;;;2
60133;AC-3--UFV034;U;;;;9,474;;;6018,03;;;2
60134;AC-4--UFV034;B;38,9;12,905;;9,474;;;6018,03;;;2
60135;AC-5--UFV034;B;38,9;12,905;;9,474;;;6018,03;;;2
60136;AC-6--UFV034;B;38,9;12,905;;9,474;;;6018,03;;;2
60137;AC-7--UFV034;B;38,9;12,905;;9,474;;;6018,03;;;2
60138;AC-8--UFV034;B;38,9;12,905;;9,474;;;6018,03;;;2
60139;AC-9--UFV034;B;2689,1;12,905;;9,474;;;416450,30;;;2
759;AC-MA1CAP500; ;;12,660;;9,719;;;;;;4
859;AC-MA2CAP500; ;;12,657;;9,722;;;;;;4
55411;ACA2B1-CE069; ;;13,718;;8,661;;;;;;3
55431;ACA2B2-CE069; ;;13,718;69,8;8,661;;;;7252,36;;3
59349;ACACIAEOL034;B;15,8;11,101;;11,278;;;2104,79;;;3
559;ACAILA-MA500; ;;12,617;;9,762;;;;;;4
4209;ACAMP1-RJ138; ;;7,001;72,9;15,378;;;;13456,06;;2
32980;ACAMPO-SP138; ;;6,906;5,8;15,473;;;;1069,86;;2
459;ACAPD1CAP500; ;;12,699;;9,680;;;;;;4
70000;ACAR3EIND013; ;;13,670;;8,709;;;;;;3
55412;ACARA2-CE230; ;;13,718;;8,661;;;;;;3
12907;ACARA3-CE230; ;;13,700;;8,679;;;;;;3
12902;ACARA3-CE500; ;;13,670;;8,709;;;;;;3
8686;ACARAC-MS138; ;;5,370;9,9;17,061;;;;2030,14;;2
59373;ACAUA-EOL034;B;5,9;11,194;;11,185;;;788,53;;;3
29610;ACC2---SP069; ;;5,370;;20,001;;;;;;2
1454;ACESIT-MG069; ;;7,068;;15,311;;;;;;2
4475;ACESIT-MG230; ;;7,068;88,0;15,311;;;;16167,98;;2
6812;ACHATE-PR138; ;;5,370;52,2;18,388;;;;11518,16;;1
25739;ACLAR-PCH034;U;;;;17,113;;;;;;2
8368;ACLARA-MS013; ;;5,604;11,9;16,775;;;;2395,53;;2
8366;ACLARA-MS138; ;;5,604;15,6;16,775;;;;3140,35;;2
3155;ACN-EL-SP138; ;;6,638;3,4;15,741;;;;642,23;;2
42154;ACRELA-AC069; ;;5,370;9,2;24,009;;;;2651,17;;2
23306;ACREU-UTE013;B;85,0;6,705;;15,674;;;6839,46;;;2
1163;ACREUN-GO138; ;;6,705;40,1;15,674;;;;7536,51;;2
651;ACU----RN069; ;;16,265;88,4;7,998;;;;8486,97;;3
70001;ACU3-EIND013; ;;15,456;;7,998;;;;;;3
38878;ACUPOR-RJ138; ;;8,368;;14,011;;;;;;2
28379;ACUTAP-RJ138; ;;8,359;;14,020;;;;;;2
4003;ADAMAN-SP069; ;;6,115;32,5;16,264;;;;6340,83;;2
6347;ADAMI--SC138; ;;5,370;13,9;18,574;;;;3104,90;;1
1545;ADELA1-MG138; ;;8,737;64,8;13,642;;;;10616,38;;2
25731;ADM----MT138; ;;5,377;14,6;17,002;;;;2978,70;;2
27371;ADMSAD-MG138; ;;8,313;12,8;14,066;;;;2157,11;;2
6368;ADOL3P-SC138; ;;5,370;;18,397;;;;;;1
50311;ADOL3PEOL013;U;;;;18,397;;;;;;1
50366;ADOPOP-SC138; ;;5,370;;19,161;;;;;;1
50328;ADOPOPPCH013;U;;;;19,161;;;;;;1
3727;ADRIA0-RJ500; ;;7,329;;15,050;;;;;;2
3730;ADRIAN-RJ138; ;;7,034;;15,345;;;;;;2
3729;ADRIAN-RJ345; ;;7,091;;15,288;;;;;;2
3728;ADRIAN-RJ500; ;;7,329;;15,050;;;;;;2
30773;ADVANC-SP088; ;;5,370;3,8;17,639;;;;804,33;;2
10755;AE-SB5-AM230; ;;9,067;;13,312;;;;;;4
10756;AE-SB6-AM230; ;;9,418;;12,961;;;;;;4
10757;AE-SB7-AM230; ;;9,418;;12,961;;;;;;4
1022;AERGUL-SP138; ;;5,370;60,3;18,124;;;;13110,41;;2
1170;AEROP1-GO138; ;;6,921;92,9;15,458;;;;17242,11;;2
4168;AEROP1-RJ138; ;;7,260;19,8;15,119;;;;3592,32;;2
30074;AEROPO-SP138; ;;5,370;9,0;17,459;;;;1885,58;;2
8344;AFELIZ-RS069; ;;5,370;6,1;19,788;;;;1448,04;;1
18502;AFEMEAPCH013;D;;;;11,960;;;;;;3
1393;AFLORE-MT138; ;;8,320;43,5;14,059;;;;7340,29;;2
7205;AFONSO-PR138; ;;5,370;35,2;19,737;;;;8337,04;;1
51785;AFPIRA-RS034; ;;5,370;35,1;19,586;;;;8249,79;;1
51782;AFPIRA-RS069; ;;5,370;29,9;19,586;;;;7027,59;;1
4257;AFRAN-TAP138; ;;6,967;;15,412;;;;;;2
4261;AFRAN1-RJ138; ;;6,967;64,0;15,412;;;;11838,31;;2
51358;AGC----RS069; ;;5,370;8,9;19,684;;;;2095,36;;1
43863;AGOURO-SC138; ;;5,370;;18,481;;;;;;1
50301;AGOUROPCH013;B;17,0;5,370;;18,481;;;1095,38;;;1
9001;AGR----RS138; ;;5,370;7,8;19,451;;;;1814,05;;1
4151;AGRAN1-RJ138; ;;7,260;39,1;15,119;;;;7101,02;;2
40610;AGRENC-MS138; ;;5,646;;16,733;;;;;;2
40611;AGRENCUTE013; ;;5,646;;16,733;;;;;;2
40625;AGRISO-MS138; ;;5,414;;16,965;;;;;;2
40626;AGRISOUTE013; ;;5,414;;16,965;;;;;;2
40360;AGROPEUTE013;D;;;1,0;14,011;;;;168,14;;2
26437;AGROSLUTE013;U;;;;17,163;;;;;;2
9772;AGROTR-TO138; ;;11,120;;11,259;;;;;;2
9744;AGROTRPCH013;U;;;;11,259;;;;;;2
18512;AGROV1UTE013;D;;;;8,522;;;;;;3
18513;AGROV2UTE013;D;;;;8,522;;;;;;3
42553;AGUAE--GO138; ;;7,347;;15,032;;;;;;2
42586;AGUAE-UTE013;B;45,0;7,347;;15,032;;;3967,22;;;2
3031;AGUAI--SP138; ;;5,370;21,5;17,325;;;;4465,72;;2
9768;AGUALI-TO138; ;;11,120;;11,259;;;;;;2
9739;AGUALIPCH013;U;;;;11,259;;;;;;2
4330;AGUALIUHE013; ;;7,561;;14,818;;;;;;2
8372;AGUASB-MS138; ;;5,604;;16,775;;;;;;2
8371;AGUAST-MS138; ;;5,604;6,4;16,775;;;;1288,35;;2
19525;AGUA_A-PA138; ;;10,222;6,9;12,157;;;;1009,68;;4
7395;AGUDO--RS069; ;;5,370;15,3;19,160;;;;3527,03;;1
2357;AGUDOS-SP138; ;;5,370;16,1;17,362;;;;3348,04;;2
20535;AGUIAR-TO013; ;;10,952;4,0;11,427;;;;553,28;;2
9773;AGUIAR-TO138; ;;10,952;;11,427;;;;;;2
1637;AIMORE-MG230; ;;8,856;;13,522;;;;;;2
1421;AIMOREUHE013;B;326,7;8,856;;13,522;;;34721,00;;;2
30814;AIRLIQ-SP088; ;;5,370;11,5;17,639;;;;2434,14;;2
2280;AIRLQ1-SP138; ;;5,370;18,5;17,891;;;;3971,81;;2
30195;AIRPRT-SP138; ;;6,481;24,5;15,898;;;;4677,86;;2
2381;AJINP1-SP138; ;;5,370;3,0;17,736;;;;638,51;;2
2336;AJINV1-SP138; ;;6,218;7,5;16,161;;;;1454,52;;2
30817;AKZO_N-SP088; ;;5,370;55,0;17,639;;;;11641,54;;2
35008;ALAGE--ES138; ;;8,021;37,1;14,358;;;;6397,27;;2
35009;ALAGE1-ES034; ;;8,021;56,5;14,358;;;;9734,59;;2
35010;ALAGE2-ES034; ;;8,021;44,7;14,358;;;;7704,97;;2
18761;ALAGO2-BA069; ;;10,817;75,0;11,562;;;;10405,95;;3
11760;ALAGO2-BA230; ;;10,817;;11,562;;;;;;3
27463;ALAGO3-MG138; ;;7,155;;15,224;;;;;;2
39860;ALAGO3PCH013;D;;;;15,224;;;;;;2
9449;ALB1---RS069; ;;5,370;10,1;19,822;;;;2407,19;;1
58152;ALBAR1EOL034;B;26,9;13,921;;8,458;;;4487,05;;;3
58153;ALBAR2EOL034;B;26,9;13,921;;8,458;;;4487,05;;;3
58154;ALBAR3EOL034;B;26,9;13,921;;8,458;;;4487,05;;;3
58155;ALBAR4EOL034;B;26,9;13,921;;8,458;;;4487,05;;;3
58156;ALBAR5EOL034;B;23,9;13,921;;8,458;;;3989,23;;;3
58157;ALBAR6EOL034;B;26,9;13,921;;8,458;;;4487,05;;;3
58158;ALBAR7EOL034;B;26,9;13,921;;8,458;;;4487,05;;;3
8110;ALBARU-RS069; ;;5,370;8,0;19,624;;;;1883,91;;1
57851;ALBATREOL013;D;;;;9,230;;;;;;3
21001;ALBRAS-PA230; ;;10,952;800,0;11,427;;;;109701,80;;4
59505;ALCACU-BA230; ;;11,021;;11,358;;;;;;3
59493;ALCACUEOL034; ;;11,021;;11,358;;;;;;3
1691;ALCAN-PCH013;U;;;;14,587;;;;;;2
2020;ALCAN1-RJ138; ;;6,684;90,6;15,695;;;;17059,78;;2
2021;ALCANT-RJ069; ;;6,684;26,7;15,695;;;;5026,78;;2
33106;ALCIDI-SP138; ;;6,338;;16,041;;;;;;2
33107;ALCIDIUTE013; ;;6,338;1,3;16,041;;;;250,24;;2
17012;ALCNACUTE013;D;;;;9,937;;;;;;3
21301;ALCOA--PA230; ;;11,017;;11,362;;;;;;4
4536;ALCOA1-MG138; ;;5,370;14,0;17,029;;;;2860,88;;2
40352;ALCON--ES138; ;;8,022;;14,357;;;;;;2
40351;ALCON-UTE013;U;;;11,0;14,357;;;4645,80;1895,10;;2
422;ALDEIA-PE230; ;;13,640;;8,739;;;;;;3
56771;ALDV2--RN230; ;;15,505;;7,998;;;;;;3
56768;ALDV2AEOL034;B;22,4;15,505;;7,998;;;4167,74;;;3
56769;ALDV2BEOL034;B;28,8;15,505;;7,998;;;5358,52;;;3
58636;ALECRIEOL034; ;;13,928;;8,451;;;;;;3
8985;ALEGR-UTE013; ;;5,370;;19,900;;;;;;1
7470;ALEGR1-RS013; ;;5,370;23,8;19,900;;;;5683,32;;1
7591;ALEGR1-RS069; ;;5,370;;19,900;;;;;;1
56453;ALEGR1EOL034;B;49,2;16,265;;7,998;;;9603,11;;;3
7386;ALEGR2-RS069; ;;5,370;;19,900;;;;;;1
9002;ALEGR2-RS230; ;;5,370;;19,900;;;;;;1
56454;ALEGR2EOL034;B;96,7;16,265;;7,998;;;18864,64;;;3
7498;ALEGR3-RS069; ;;5,370;15,3;19,907;;;;3652,58;;1
7364;ALEGR4-RS069; ;;5,370;31,2;19,900;;;;7455,18;;1
7557;ALEGR5-RS069; ;;5,370;20,6;19,907;;;;4918,68;;1
35081;ALEGR6-ES069; ;;8,145;16,8;14,234;;;;2864,42;;2
34751;ALEGR6PCH013;D;;;;14,234;;;;;;2
7816;ALEGRE-RS138; ;;5,370;;19,900;;;;;;1
56456;ALEGRI-RN230; ;;16,265;;7,998;;;;;;3
21015;ALEMAO-PA230; ;;10,892;40,0;11,487;;;;5513,64;;4
2120;ALEMPA-MG069; ;;7,208;8,5;15,171;;;;1553,47;;2
2091;ALEMPA-MG138; ;;7,208;;15,171;;;;;;2
19530;ALENQU-PA138; ;;11,490;11,8;10,889;;;;1544,55;;4
56095;ALEX---CE230; ;;16,352;;7,998;;;;;;3
56085;ALEX1-UFV034;U;;;;7,998;;;5955,28;;;3
56093;ALEX10UFV034;B;30,4;16,352;;7,998;;;5955,28;;;3
56086;ALEX3-UFV034;U;;;;7,998;;;5955,28;;;3
56087;ALEX4-UFV034;U;;;;7,998;;;5955,28;;;3
56088;ALEX5-UFV034;B;30,4;16,352;;7,998;;;5955,28;;;3
56089;ALEX6-UFV034;B;30,4;16,352;;7,998;;;5955,28;;;3
56090;ALEX7-UFV034;B;30,4;16,352;;7,998;;;5955,28;;;3
56091;ALEX8-UFV034;B;30,4;16,352;;7,998;;;5955,28;;;3
56092;ALEX9-UFV034;U;;;;7,998;;;5955,28;;;3
23372;ALEXAN-GO138; ;;8,899;11,0;13,480;;;;1780,99;;2
9650;ALF1---RO069; ;;5,370;;22,507;;;;;;2
9651;ALF2---RO069; ;;5,370;;22,507;;;;;;2
9649;ALFAVI-RO069; ;;5,370;80,8;22,507;;;;21828,36;;2
1860;ALFEN1-MG138; ;;6,359;39,4;16,020;;;;7568,27;;2
1861;ALFEN2-MG138; ;;6,303;10,0;16,076;;;;1931,01;;2
20506;ALMAS--TO013; ;;11,193;1,1;11,186;;;;143,09;;2
20505;ALMAS--TO034; ;;11,193;6,6;11,186;;;;883,08;;2
9771;ALMAS--TO138;B;8,0;11,193;;11,186;;;1074,56;;;2
33028;ALMEID-SP138; ;;5,370;5,5;17,355;;;;1145,43;;2
6829;ALMTAM-PR138; ;;5,370;17,7;19,247;;;;4087,99;;1
21027;ALPA---PA230; ;;11,765;;10,614;;;;;;4
6820;ALPARA-PR138; ;;5,370;20,7;18,624;;;;4626,22;;1
27780;ALPARG-MG138; ;;10,509;6,7;11,870;;;;955,09;;2
23324;ALPHAV-GO138; ;;9,053;5,9;13,326;;;;944,92;;2
2420;ALTAIR-SP069; ;;6,875;7,5;15,504;;;;1401,52;;2
862;ALTAMI-PA069; ;;11,618;105,3;10,761;;;;13597,87;;4
362;ALTAMI-PA230; ;;11,618;;10,761;;;;;;4
1337;ALTBVI-MT138; ;;7,154;11,4;15,225;;;;2091,89;;2
6877;ALTGLO-PR069; ;;5,370;44,5;19,679;;;;10508,53;;1
2547;ALTINO-SP069; ;;6,867;5,0;15,512;;;;927,37;;2
42151;ALTOAL-AC069; ;;5,370;23,2;24,004;;;;6682,62;;2
50354;ALTOBE-SC138; ;;5,370;;20,056;;;;;;1
50307;ALTOBEPCH013;U;;;;20,056;;;;;;1
50361;ALTOIR-SC069; ;;5,370;;18,334;;;;;;1
50323;ALTOIRPCH013;D;;;;18,334;;;;;;1
6197;ALTONA-SC069; ;;5,370;7,6;19,988;;;;1824,87;;1
6814;ALTONI-PR138; ;;5,370;27,9;18,324;;;;6134,73;;1
23301;ALTOPA-GO138; ;;10,976;15,6;11,403;;;;2133,21;;2
308;ALTOS--PI069; ;;12,124;;10,255;;;;;;3
348;ALTOS-UTE013; ;;12,124;;10,255;;;;;;3
42587;ALTOT-UTE013;B;45,0;7,347;;15,032;;;3967,22;;;2
42554;ALTOTA-MT138; ;;7,347;;15,032;;;;;;2
21005;ALUNOR-PA230; ;;10,953;110,7;11,426;;;;15177,95;;4
9377;ALV----RS069; ;;5,370;25,1;19,671;;;;5924,90;;1
51355;ALV2---RS069; ;;5,370;26,3;19,664;;;;6208,31;;1
1992;ALVOR1-RJ138; ;;7,657;8,8;14,722;;;;1554,66;;2
1991;ALVOR2-RJ138; ;;7,657;11,1;14,722;;;;1953,92;;2
59338;ALVORA-BA069; ;;11,255;;11,124;;;;;;3
23406;ALVORA-GO138; ;;9,435;23,4;12,944;;;;3626,97;;2
4253;ALVORA-RJ138; ;;6,901;96,2;15,478;;;;17867,70;;2
20589;ALVORA-TO013; ;;11,194;3,8;11,185;;;;513,40;;2
20588;ALVORA-TO034; ;;11,194;8,8;11,185;;;;1185,58;;2
9784;ALVORA-TO138; ;;11,194;;11,185;;;;;;2
59335;ALVORAEOL034;B;8,0;11,255;;11,124;;;1080,50;;;3
27374;ALVORAUTE013;U;;;;14,166;;;;;;2
27900;ALVORAUTE013;U;;;;16,858;;;;;;2
8378;AMAMBA-MS138; ;;5,646;22,5;16,733;;;;4509,88;;2
42596;AMAND-UTE013;B;50,0;6,169;;16,210;;;3701,48;;;2
42567;AMANDI-MS138; ;;6,169;;16,210;;;;;;2
10183;AMAPA--AP013; ;;12,055;2,0;10,324;;;;253,35;;4
10184;AMAPA--AP069; ;;12,055;;10,324;;;;;;4
23511;AMARIL-GO138; ;;10,976;20,0;11,403;;;;2736,63;;2
10085;AMATPB-AP069; ;;12,055;;10,324;;;;;;4
10070;AMAZO1-AP013; ;;12,090;15,1;10,289;;;;1860,74;;4
10077;AMAZO2-AP013; ;;12,090;15,1;10,289;;;;1860,74;;4
10078;AMAZO3-AP013; ;;12,090;7,6;10,289;;;;938,40;;4
10179;AMAZO4-AP013; ;;12,090;7,6;10,289;;;;938,40;;4
10515;AMAZON-AM069; ;;9,285;;13,094;;;;;;4
10313;AMAZON-AM138; ;;9,502;85,3;12,877;;;;13176,01;;4
10169;AMAZON-AP069; ;;12,076;;10,303;;;;;;4
56286;AMAZON-RN230; ;;15,781;;7,998;;;;;;3
30813;AMBEAM-SP088; ;;5,370;11,5;17,639;;;;2434,14;;2
10379;AMBEV--AM069; ;;9,062;4,8;13,317;;;;763,86;;4
23330;AMBEV--GO138; ;;7,142;7,0;15,237;;;;1279,90;;2
19181;AMBEV--MA069; ;;12,696;4,7;9,683;;;;546,10;;4
7178;AMBEV--PR138; ;;5,370;5,0;19,160;;;;1149,57;;1
6300;AMBEV--SC138; ;;5,370;3,8;19,160;;;;882,64;;1
28816;AMBEV--SP138; ;;5,370;10,5;17,589;;;;2216,26;;2
30052;AMBEVA-SP138; ;;5,370;7,0;17,362;;;;1458,39;;2
2453;AMBRAS-SP138; ;;6,041;15,1;16,338;;;;2962,48;;2
46159;AMEIO--RS069; ;;5,370;14,0;20,841;;;;3498,72;;1
2244;AMERCA-SP138; ;;5,370;26,3;17,393;;;;5480,97;;2
2344;AMERCB-SP138; ;;6,376;50,6;16,003;;;;9715,14;;2
30204;AMERI-PCH006;U;;;;17,411;;;;;;2
30203;AMERI7-SP138; ;;5,370;20,4;17,404;;;;4262,70;;2
59464;AMESCLEOL034;B;13,2;11,021;;11,358;;;1740,41;;;3
59318;AMETISEOL034;B;28,1;11,255;;11,124;;;3789,87;;;3
8418;AMIRAN-MS069; ;;5,370;,9;17,221;;;;186,29;;2
55422;AMONTA-CE230; ;;13,593;;8,786;;;;;;3
2219;AMPARO-SP138; ;;5,370;47,0;17,938;;;;10110,46;;2
2228;AMSTED-SP138; ;;5,370;4,3;17,459;;;;900,89;;2
29896;AMTALI-SP138; ;;5,370;5,3;17,335;;;;1102,50;;2
30518;AMYRIS-SP138; ;;5,370;;18,006;;;;;;2
20509;ANANAS-TO013; ;;10,708;2,1;11,671;;;;288,50;;2
20508;ANANAS-TO034; ;;10,708;5,3;11,671;;;;740,44;;2
20507;ANANAS-TO138; ;;10,708;;11,671;;;;;;2
1209;ANAPOL-GO138; ;;7,142;61,3;15,237;;;;11215,60;;2
41160;ANAPU--PA500; ;;11,856;;10,523;;;;;;4
41162;ANAPU-SIN013; ;;11,856;;10,523;;;;;;4
9663;ANARY--RO138; ;;5,370;2,6;22,174;;;;692,09;;2
46950;ANASTA-MS138; ;;5,370;;17,244;;;;;;2
